0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,,,,,,,,,,,,,,,,,,,,,,,,
,,Less than 12 Months,Less than 12 Months,Less than 12 Months,Less than 12 Months,Less than 12 Months,Less than 12 Months,,,12 Months or Greater,12 Months or Greater,12 Months or Greater,12 Months or Greater,12 Months or Greater,12 Months or Greater,,,,,,,,Total Unrealized Losses,
,,,,,,,,,,,,,,,,,,,,,,,Total Unrealized Losses,
,,,,,,,,,,,,,,,,,,,,,,,Total Unrealized Losses,
(In millions),,,Fair Value,,,,Unrealized Losses,,,,Fair Value,,,,Unrealized Losses,,,,Total Fair Value,,,,Total Unrealized Losses,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"March 31, 2026",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
U.S. government and agency securities,,$,6800,,,$,(335,),,$,23042,,,$,(743,),,$,29842,,,$,"(1,078",)
Foreign government bonds,,,91,,,,(2,),,,31,,,,(3,),,,122,,,,(5,)
Mortgage- and asset-backed securities,,,581,,,,(3,),,,150,,,,(20,),,,731,,,,(23,)
Corporate notes and bonds,,,3472,,,,(29,),,,1411,,,,(44,),,,4883,,,,(73,)
Municipal securities,,,0,,,,0,,,,154,,,,(20,),,,154,,,,(20,)
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Total,,$,10944,,,$,(369,),,$,24788,,,$,(830,),,$,35732,,,$,"(1,199",)
,,,,,,,,,,,,,,,,,,,,,,,,
